TimePeriod,Service,UsageType,Operation,BlendedCost,AWS Service,Region,Resource Type,Resource ID
"{'Start': '2023-11-04T19:55:15.909641', 'End': '2023-11-22T19:55:15.909643'}",RDS,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 11.65, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-11-03T19:55:15.909650', 'End': '2023-11-22T19:55:15.909652'}",EC2,RDS:GP2-Storage,GetObject,"{'Amount': 65.04, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-11-02T19:55:15.909657', 'End': '2023-11-22T19:55:15.909659'}",EC2,RDS:GP2-Storage,RunInstances,"{'Amount': 38.73, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-11-01T19:55:15.909663', 'End': '2023-11-22T19:55:15.909665'}",EC2,RDS:GP2-Storage,GetObject,"{'Amount': 40.53, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-10-31T19:55:15.909670', 'End': '2023-11-22T19:55:15.909672'}",S3,RDS:GP2-Storage,GetObject,"{'Amount': 37.37, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-10-30T19:55:15.909678', 'End': '2023-11-22T19:55:15.909680'}",RDS,RDS:GP2-Storage,RunInstances,"{'Amount': 63.34, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-10-29T19:55:15.909685', 'End': '2023-11-22T19:55:15.909691'}",EC2,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 72.72, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-10-28T19:55:15.909696', 'End': '2023-11-22T19:55:15.909698'}",EC2,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 70.51, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-10-27T19:55:15.909703', 'End': '2023-11-22T19:55:15.909704'}",S3,RDS:GP2-Storage,GetObject,"{'Amount': 39.0, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-10-26T19:55:15.909709', 'End': '2023-11-22T19:55:15.909711'}",RDS,RDS:GP2-Storage,GetObject,"{'Amount': 78.66, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-10-25T19:55:15.909716', 'End': '2023-11-22T19:55:15.909718'}",S3,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 48.98, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-10-24T19:55:15.909722', 'End': '2023-11-22T19:55:15.909724'}",EC2,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 21.71, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-10-23T19:55:15.909729', 'End': '2023-11-22T19:55:15.909731'}",S3,RDS:GP2-Storage,RunInstances,"{'Amount': 19.21, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-10-22T19:55:15.909735', 'End': '2023-11-22T19:55:15.909737'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 63.19, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-10-21T19:55:15.909742', 'End': '2023-11-22T19:55:15.909744'}",RDS,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 54.69, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-10-20T19:55:15.909749', 'End': '2023-11-22T19:55:15.909751'}",RDS,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 48.62, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-10-19T19:55:15.909756', 'End': '2023-11-22T19:55:15.909758'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 22.17, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-10-18T19:55:15.909762', 'End': '2023-11-22T19:55:15.909764'}",EC2,RDS:GP2-Storage,RunInstances,"{'Amount': 57.94, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-10-17T19:55:15.909771', 'End': '2023-11-22T19:55:15.909774'}",EC2,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 99.98, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-10-16T19:55:15.909779', 'End': '2023-11-22T19:55:15.909781'}",RDS,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 44.9, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-10-15T19:55:15.909786', 'End': '2023-11-22T19:55:15.909788'}",EC2,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 98.53, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-10-14T19:55:15.909792', 'End': '2023-11-22T19:55:15.909794'}",EC2,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 23.85, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-10-13T19:55:15.909799', 'End': '2023-11-22T19:55:15.909801'}",EC2,RDS:GP2-Storage,RunInstances,"{'Amount': 21.48, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-10-12T19:55:15.909805', 'End': '2023-11-22T19:55:15.909807'}",RDS,RDS:GP2-Storage,RunInstances,"{'Amount': 41.99, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-10-11T19:55:15.909812', 'End': '2023-11-22T19:55:15.909814'}",EC2,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 29.12, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-10-10T19:55:15.909818', 'End': '2023-11-22T19:55:15.909820'}",RDS,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 18.77, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-10-09T19:55:15.909827', 'End': '2023-11-22T19:55:15.909829'}",RDS,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 86.88, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-10-08T19:55:15.909834', 'End': '2023-11-22T19:55:15.909836'}",EC2,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 21.94, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-10-07T19:55:15.909842', 'End': '2023-11-22T19:55:15.909844'}",EC2,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 58.45, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-10-06T19:55:15.909848', 'End': '2023-11-22T19:55:15.909850'}",RDS,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 32.75, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-10-05T19:55:15.909857', 'End': '2023-11-22T19:55:15.909859'}",S3,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 57.54, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-10-04T19:55:15.909865', 'End': '2023-11-22T19:55:15.909867'}",S3,RDS:GP2-Storage,RunInstances,"{'Amount': 85.5, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-10-03T19:55:15.909872', 'End': '2023-11-22T19:55:15.909874'}",RDS,RDS:GP2-Storage,GetObject,"{'Amount': 19.48, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-10-02T19:55:15.909879', 'End': '2023-11-22T19:55:15.909880'}",EC2,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 25.97, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-10-01T19:55:15.909885', 'End': '2023-11-22T19:55:15.909887'}",RDS,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 28.72, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-09-30T19:55:15.909892', 'End': '2023-11-22T19:55:15.909893'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 12.09, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-09-29T19:55:15.909898', 'End': '2023-11-22T19:55:15.909900'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 91.71, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-09-28T19:55:15.909905', 'End': '2023-11-22T19:55:15.909907'}",EC2,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 46.04, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-09-27T19:55:15.909911', 'End': '2023-11-22T19:55:15.909913'}",RDS,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 99.64, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-09-26T19:55:15.909918', 'End': '2023-11-22T19:55:15.909919'}",RDS,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 60.94, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-09-25T19:55:15.909924', 'End': '2023-11-22T19:55:15.909926'}",RDS,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 26.74, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-09-24T19:55:15.909931', 'End': '2023-11-22T19:55:15.909935'}",EC2,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 42.58, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-09-23T19:55:15.909940', 'End': '2023-11-22T19:55:15.909942'}",EC2,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 52.39, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-09-22T19:55:15.909946', 'End': '2023-11-22T19:55:15.909948'}",RDS,RDS:GP2-Storage,GetObject,"{'Amount': 34.91, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-09-21T19:55:15.909953', 'End': '2023-11-22T19:55:15.909955'}",EC2,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 75.26, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-09-20T19:55:15.909961', 'End': '2023-11-22T19:55:15.909964'}",RDS,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 19.77, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-09-19T19:55:15.909969', 'End': '2023-11-22T19:55:15.909970'}",RDS,RDS:GP2-Storage,RunInstances,"{'Amount': 32.45, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-09-18T19:55:15.909976', 'End': '2023-11-22T19:55:15.909978'}",S3,RDS:GP2-Storage,RunInstances,"{'Amount': 47.05, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-09-17T19:55:15.909982', 'End': '2023-11-22T19:55:15.909984'}",RDS,DataTransfer-Out-Bytes,GetObject,"{'Amount': 36.29, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-09-16T19:55:15.909989', 'End': '2023-11-22T19:55:15.909991'}",RDS,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 72.68, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-09-15T19:55:15.909995', 'End': '2023-11-22T19:55:15.909997'}",EC2,RDS:GP2-Storage,RunInstances,"{'Amount': 71.4, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-09-14T19:55:15.910002', 'End': '2023-11-22T19:55:15.910006'}",RDS,RDS:GP2-Storage,GetObject,"{'Amount': 70.66, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-09-13T19:55:15.910010', 'End': '2023-11-22T19:55:15.910014'}",RDS,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 63.5, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-09-12T19:55:15.910019', 'End': '2023-11-22T19:55:15.910021'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 97.82, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-09-11T19:55:15.910026', 'End': '2023-11-22T19:55:15.910027'}",RDS,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 85.52, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-09-10T19:55:15.910032', 'End': '2023-11-22T19:55:15.910034'}",RDS,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 90.72, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-09-09T19:55:15.910040', 'End': '2023-11-22T19:55:15.910041'}",RDS,RDS:GP2-Storage,GetObject,"{'Amount': 76.37, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-09-08T19:55:15.910046', 'End': '2023-11-22T19:55:15.910048'}",S3,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 55.35, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-09-07T19:55:15.910054', 'End': '2023-11-22T19:55:15.910056'}",S3,RDS:GP2-Storage,RunInstances,"{'Amount': 27.68, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-09-06T19:55:15.910061', 'End': '2023-11-22T19:55:15.910064'}",RDS,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 64.35, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-09-05T19:55:15.910068', 'End': '2023-11-22T19:55:15.910070'}",S3,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 24.11, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-09-04T19:55:15.910075', 'End': '2023-11-22T19:55:15.910077'}",RDS,DataTransfer-Out-Bytes,GetObject,"{'Amount': 25.3, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-09-03T19:55:15.910082', 'End': '2023-11-22T19:55:15.910083'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 38.91, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-09-02T19:55:15.910088', 'End': '2023-11-22T19:55:15.910090'}",EC2,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 80.19, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-09-01T19:55:15.910096', 'End': '2023-11-22T19:55:15.910100'}",EC2,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 47.13, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-08-31T19:55:15.910105', 'End': '2023-11-22T19:55:15.910107'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 81.79, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-08-30T19:55:15.910112', 'End': '2023-11-22T19:55:15.910113'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 64.82, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-08-29T19:55:15.910118', 'End': '2023-11-22T19:55:15.910120'}",RDS,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 57.68, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-08-28T19:55:15.910125', 'End': '2023-11-22T19:55:15.910127'}",EC2,RDS:GP2-Storage,GetObject,"{'Amount': 74.23, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-08-27T19:55:15.910132', 'End': '2023-11-22T19:55:15.910133'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 64.5, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-08-26T19:55:15.910138', 'End': '2023-11-22T19:55:15.910142'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 25.34, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-08-25T19:55:15.910149', 'End': '2023-11-22T19:55:15.910151'}",EC2,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 93.9, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-08-24T19:55:15.910156', 'End': '2023-11-22T19:55:15.910158'}",RDS,RDS:GP2-Storage,GetObject,"{'Amount': 32.37, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-08-23T19:55:15.910162', 'End': '2023-11-22T19:55:15.910164'}",RDS,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 73.09, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-08-22T19:55:15.910169', 'End': '2023-11-22T19:55:15.910171'}",RDS,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 38.31, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-08-21T19:55:15.910176', 'End': '2023-11-22T19:55:15.910178'}",RDS,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 27.55, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-08-20T19:55:15.910185', 'End': '2023-11-22T19:55:15.910187'}",S3,RDS:GP2-Storage,RunInstances,"{'Amount': 83.51, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-08-19T19:55:15.910193', 'End': '2023-11-22T19:55:15.910195'}",S3,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 12.13, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-08-18T19:55:15.910200', 'End': '2023-11-22T19:55:15.910202'}",RDS,RDS:GP2-Storage,RunInstances,"{'Amount': 52.07, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-08-17T19:55:15.910206', 'End': '2023-11-22T19:55:15.910208'}",RDS,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 19.1, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-08-16T19:55:15.910213', 'End': '2023-11-22T19:55:15.910215'}",RDS,DataTransfer-Out-Bytes,GetObject,"{'Amount': 63.61, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-08-15T19:55:15.910219', 'End': '2023-11-22T19:55:15.910221'}",RDS,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 19.41, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-08-14T19:55:15.910226', 'End': '2023-11-22T19:55:15.910228'}",S3,RDS:GP2-Storage,GetObject,"{'Amount': 69.17, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-08-13T19:55:15.910233', 'End': '2023-11-22T19:55:15.910234'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 65.6, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-08-12T19:55:15.910241', 'End': '2023-11-22T19:55:15.910243'}",S3,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 19.83, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-08-11T19:55:15.910248', 'End': '2023-11-22T19:55:15.910250'}",EC2,RDS:GP2-Storage,GetObject,"{'Amount': 32.58, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-08-10T19:55:15.910255', 'End': '2023-11-22T19:55:15.910257'}",S3,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 75.13, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-08-09T19:55:15.910262', 'End': '2023-11-22T19:55:15.910266'}",EC2,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 71.56, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-08-08T19:55:15.910270', 'End': '2023-11-22T19:55:15.910272'}",RDS,DataTransfer-Out-Bytes,GetObject,"{'Amount': 95.41, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-08-07T19:55:15.910277', 'End': '2023-11-22T19:55:15.910279'}",RDS,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 17.81, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-08-06T19:55:15.910284', 'End': '2023-11-22T19:55:15.910286'}",S3,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 51.46, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-08-05T19:55:15.910291', 'End': '2023-11-22T19:55:15.910295'}",S3,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 75.74, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-08-04T19:55:15.910300', 'End': '2023-11-22T19:55:15.910302'}",S3,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 74.84, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-08-03T19:55:15.910307', 'End': '2023-11-22T19:55:15.910309'}",EC2,RDS:GP2-Storage,GetObject,"{'Amount': 30.9, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-08-02T19:55:15.910314', 'End': '2023-11-22T19:55:15.910315'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 47.76, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-08-01T19:55:15.910320', 'End': '2023-11-22T19:55:15.910322'}",RDS,RDS:GP2-Storage,RunInstances,"{'Amount': 34.23, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-07-31T19:55:15.910327', 'End': '2023-11-22T19:55:15.910329'}",EC2,RDS:GP2-Storage,RunInstances,"{'Amount': 90.91, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
